Artikel-ID,Bezeichnung,Lagerplatz,Kategorie,Bestand,QR Code,Reichweite (Tage),Buchen
1,CC03XL (ältere Bauart),HP-1-1-1,Akku intern,"129,00",,∞,TRUE
2,CC03XL (neuere Bauart),HP-1-1-1,Akku intern,"14,00",,∞,TRUE
3,DKNKD,HP-1-1-1,Akku,"2,00",,∞,FALSE
4,H5CKD,HP-1-1-1,Akku,"2,00",,∞,FALSE
5,1FXDH,HP-1-1-1,Akku,"8,00",,∞,FALSE
6,VV06XL,HP-1-1-1,Akku,"6,00",,∞,FALSE
7,SS03XL,HP-1-1-1,Akku intern,"0,00",,∞,FALSE
8,AL08XL,HP-1-1-1,Akku,"4,00",,∞,FALSE
9,VX04XL,HP-1-1-2,Akku,"33,00",,990,FALSE
10,HK04XL,HP-1-1-2,Akku,"8,00",,∞,FALSE
11,AM06XL,HP-1-1-2,Akku,"4,00",,∞,FALSE
12,BM04XL,HP-1-1-2,Akku,"9,00",,∞,FALSE
13,RH03XL,HP-1-1-2,Akku,"1,00",,∞,FALSE
14,0R04XL,HP-1-1-2,Akku,"5,00",,∞,FALSE
15,BL04XL,HP-1-1-2,Akku,"3,00",,∞,FALSE
16,CX03XL,HP-1-1-2,Akku,"1,00",,∞,FALSE
17,SB10K97589,L-1-1-1,Akku intern,"83,00",,∞,FALSE
18,T590 Displaymodul,L-1-1-1,Displaymodul,"0,00",,∞,FALSE
19,SB10K97635,L-1-1-1,Akku intern,"60,00",,∞,FALSE
34,T14 G1 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
35,T14 G1 Tastatur,OLP,Tastatur,"0,00",,,FALSE
36,T14 G1 Touchpad,OLP,Touchpad,"0,00",,,FALSE
37,T14 G1 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
38,T14 G1 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
39,T14 G1 D Cover,OLP,D Cover,"0,00",,,FALSE
40,T14 G1 USB Board,OLP,USB Board,"1,00",,,FALSE
41,T14 G1 Power Button,OLP,Power Button,"0,00",,,FALSE
42,T14 G1 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
43,T14 G1 Lüfter,OLP,Lüfter,"0,00",,,FALSE
44,T14 G1 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
45,T14 G1 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
46,T14 G1 Akku,OLP,Akku,"0,00",,,FALSE
47,830 G10 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
48,830 G10 Tastatur,OLP,Tastatur,"0,00",,,FALSE
49,830 G10 Touchpad,OLP,Touchpad,"0,00",,,FALSE
50,830 G10 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
51,830 G10 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
52,830 G10 D Cover,OLP,D Cover,"0,00",,,FALSE
53,830 G10 USB Board,OLP,USB Board,"0,00",,,FALSE
54,830 G10 Power Button,OLP,Power Button,"0,00",,,FALSE
55,830 G10 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
56,830 G10 Lüfter,OLP,Lüfter,"0,00",,,FALSE
57,830 G10 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
58,830 G10 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
59,830 G10 Akku,OLP,Akku,"0,00",,,FALSE
60,830 G6 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
61,830 G6 Tastatur,OLP,Tastatur,"0,00",,,FALSE
62,830 G6 Touchpad,OLP,Touchpad,"0,00",,,FALSE
63,830 G6 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
64,830 G6 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
65,830 G6 D Cover,OLP,D Cover,"0,00",,,FALSE
66,830 G6 USB Board,OLP,USB Board,"0,00",,,FALSE
67,830 G6 Power Button,OLP,Power Button,"0,00",,,FALSE
68,830 G6 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
69,830 G6 Lüfter,OLP,Lüfter,"0,00",,,FALSE
70,830 G6 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
71,830 G6 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
72,830 G6 Akku,OLP,Akku,"0,00",,,FALSE
73,830 G7 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
74,830 G7 Tastatur,OLP,Tastatur,"0,00",,,FALSE
75,830 G7 Touchpad,OLP,Touchpad,"0,00",,,FALSE
76,830 G7 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
77,830 G7 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
78,830 G7 D Cover,OLP,D Cover,"0,00",,,FALSE
79,830 G7 USB Board,OLP,USB Board,"0,00",,,FALSE
80,830 G7 Power Button,OLP,Power Button,"0,00",,,FALSE
81,830 G7 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
82,830 G7 Lüfter,OLP,Lüfter,"0,00",,,FALSE
83,830 G7 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
84,830 G7 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
85,830 G7 Akku,OLP,Akku,"0,00",,,FALSE
86,830 G8 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
87,830 G8 Tastatur,OLP,Tastatur,"0,00",,,FALSE
88,830 G8 Touchpad,OLP,Touchpad,"0,00",,,FALSE
89,830 G8 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
90,830 G8 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
91,830 G8 D Cover,OLP,D Cover,"0,00",,,FALSE
92,830 G8 USB Board,OLP,USB Board,"0,00",,,FALSE
93,830 G8 Power Button,OLP,Power Button,"0,00",,,FALSE
94,830 G8 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
95,830 G8 Lüfter,OLP,Lüfter,"0,00",,,FALSE
96,830 G8 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
97,830 G8 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
98,830 G8 Akku,OLP,Akku,"0,00",,,FALSE
99,830 G9 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
100,830 G9 Tastatur,OLP,Tastatur,"0,00",,,FALSE
101,830 G9 Touchpad,OLP,Touchpad,"0,00",,,FALSE
102,830 G9 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
103,830 G9 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
104,830 G9 D Cover,OLP,D Cover,"0,00",,,FALSE
105,830 G9 USB Board,OLP,USB Board,"0,00",,,FALSE
106,830 G9 Power Button,OLP,Power Button,"0,00",,,FALSE
107,830 G9 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
108,830 G9 Lüfter,OLP,Lüfter,"0,00",,,FALSE
109,830 G9 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
110,830 G9 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
111,830 G9 Akku,OLP,Akku,"0,00",,,FALSE
112,840 G5 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
113,840 G5 Tastatur,OLP,Tastatur,"0,00",,,FALSE
114,840 G5 Touchpad,OLP,Touchpad,"0,00",,,FALSE
115,840 G5 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
116,840 G5 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
117,840 G5 D Cover,OLP,D Cover,"0,00",,,FALSE
118,840 G5 USB Board,OLP,USB Board,"0,00",,,FALSE
119,840 G5 Power Button,OLP,Power Button,"0,00",,,FALSE
120,840 G5 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
121,840 G5 Lüfter,OLP,Lüfter,"0,00",,,FALSE
122,840 G5 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
123,840 G5 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
124,840 G5 Akku,OLP,Akku,"0,00",,,FALSE
125,840 G5 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
126,840 G5 Tastatur,OLP,Tastatur,"0,00",,,FALSE
127,840 G5 Touchpad,OLP,Touchpad,"0,00",,,FALSE
128,840 G5 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
129,840 G5 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
130,840 G5 D Cover,OLP,D Cover,"0,00",,,FALSE
131,840 G5 USB Board,OLP,USB Board,"0,00",,,FALSE
132,840 G5 Power Button,OLP,Power Button,"0,00",,,FALSE
133,840 G5 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
134,840 G5 Lüfter,OLP,Lüfter,"0,00",,,FALSE
135,840 G5 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
136,840 G5 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
137,840 G5 Akku,OLP,Akku,"0,00",,,FALSE
138,840 G6 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
139,840 G6 Tastatur,OLP,Tastatur,"0,00",,,FALSE
140,840 G6 Touchpad,OLP,Touchpad,"0,00",,,FALSE
141,840 G6 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
142,840 G6 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
143,840 G6 D Cover,OLP,D Cover,"0,00",,,FALSE
144,840 G6 USB Board,OLP,USB Board,"0,00",,,FALSE
145,840 G6 Power Button,OLP,Power Button,"0,00",,,FALSE
146,840 G6 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
147,840 G6 Lüfter,OLP,Lüfter,"0,00",,,FALSE
148,840 G6 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
149,840 G6 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
150,840 G6 Akku,OLP,Akku,"0,00",,,FALSE
151,840 G7 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
152,840 G7 Tastatur,OLP,Tastatur,"0,00",,,FALSE
153,840 G7 Touchpad,OLP,Touchpad,"0,00",,,FALSE
154,840 G7 Füße vorne,OLP,Füße vorne,"0,00",,,FALSE
155,840 G7 Füße hinten,OLP,Füße hinten,"0,00",,,FALSE
156,840 G7 D Cover,OLP,D Cover,"0,00",,,FALSE
157,840 G7 USB Board,OLP,USB Board,"0,00",,,FALSE
158,840 G7 Power Button,OLP,Power Button,"0,00",,,FALSE
159,840 G7 Lautsprecher,OLP,Lautsprecher,"0,00",,,FALSE
160,840 G7 Lüfter,OLP,Lüfter,"0,00",,,FALSE
161,840 G7 Thermalmodul,OLP,Thermalmodul,"0,00",,,FALSE
162,840 G7 BIOS Batterie,OLP,BIOS Batterie,"0,00",,,FALSE
163,840 G7 Akku,OLP,Akku,"0,00",,,FALSE
164,840 G8 Displaymodul,OLP,Displaymodul,"0,00",,,FALSE
165,840 G8 Tastatur,OLP,Tastatur,"0,00",,,FALSE
